mtry,ntree,Accuracy,Kappa,AccuracySD,KappaSD
22,1000,0.937991820320695,0.869232400955429,0.00820626225941876,0.0174715498728839
21,1000,0.936922710749478,0.866971953822063,0.0101222374025106,0.0214375984697349
20,1000,0.936721255630404,0.866500220070652,0.00890932307287121,0.0189709015800099
19,1000,0.937728578978573,0.868589890054837,0.00862638496886902,0.0183008565484145
18,1000,0.936859401802266,0.86674214653222,0.0121275966999132,0.0257317211996788
17,1000,0.936789700954788,0.866568412590742,0.0103235654667323,0.0217083520094149
16,1000,0.937391680818129,0.867723695645729,0.0116780269326003,0.0249447435035253
15,1000,0.936323511279587,0.865513731873006,0.00896325132481453,0.018936015516859
14,1000,0.937793304949927,0.868465341540803,0.0110343154987602,0.0235147625209239
13,1000,0.935455778491387,0.863556100764914,0.010445324494545,0.0220961959104744
12,1000,0.934659955520143,0.861640680315491,0.00936367461262938,0.0200128795143701
11,1000,0.934924283909184,0.862141505068818,0.00902807975545444,0.0193852467887709
10,1000,0.932923966272572,0.857781728490681,0.0102059344294408,0.0217505089492071
9,1000,0.933718748340054,0.85940117504566,0.01165917584176,0.0249539909129492
8,1000,0.932717897910949,0.857162770240232,0.00827042869920109,0.0177970779671678
7,1000,0.931114590090489,0.85354836775838,0.0105195668333356,0.0225569631488593
6,1000,0.929715389010954,0.850349471799679,0.0101766893765159,0.0219719634390398
5,1000,0.926783233401207,0.843693194189589,0.0115578988502183,0.0250867935152238
4,1000,0.921035983613814,0.83074003704327,0.00900906838012584,0.0195308061462011
3,1000,0.909957304166566,0.805460868934535,0.0136641110847336,0.0302950951868941
2,1000,0.882853109163441,0.742510895309569,0.0135774880447138,0.0311170468031103
1,1000,0.78714518353977,0.507856942117627,0.0167677812872696,0.0428453470679182
50,1500,0.937933427229291,0.869533212896975,0.0119728381861468,0.0252989509304351
49,1500,0.93859101496165,0.871023587652608,0.00945168495723408,0.0199091378058607
48,1500,0.938993653706342,0.871798479868794,0.0120294394727646,0.0253416216918513
47,1500,0.938790478413319,0.871390997670334,0.00951219288906838,0.0201835521985949
46,1500,0.938598756280969,0.870913087131338,0.0099723488235285,0.0209399589391076
45,1500,0.93799581116718,0.869719435274129,0.0104118320016085,0.0218266299317557
44,1500,0.937858312609154,0.869319973777128,0.00890775106947211,0.0187369449882482
43,1500,0.93879474075326,0.871288189453365,0.010098912740103,0.0213669848458954
42,1500,0.938197935898571,0.870059279253387,0.0125882429906729,0.0266542242986069
41,1500,0.938258898519931,0.870165829250787,0.00849898446901375,0.0181795065096623
40,1500,0.938462212242423,0.870579646954064,0.0105359504472409,0.0222406193224837
39,1500,0.93812766040783,0.86982958471986,0.00968982575558132,0.0204948581459751
38,1500,0.93825845211172,0.870097692934477,0.00905325512860865,0.0191149232865262
37,1500,0.939060349346618,0.871769014022237,0.00743164006309751,0.0157826611648993
36,1500,0.937456839247437,0.868408101225432,0.0108859051078033,0.0230561560352493
35,1500,0.938989808264454,0.871603694010041,0.00957538635757171,0.0202785449749307
34,1500,0.939326386105544,0.872373704551134,0.0105248048887679,0.022108695484206
33,1500,0.937394077042975,0.868230586633594,0.00874748827330712,0.0186306065359668
32,1500,0.938128598294313,0.869794666472953,0.00931546396291887,0.0196794911391702
31,1500,0.938128355774467,0.869756539531249,0.00871934765153464,0.0181060643082799
30,1500,0.937593526007839,0.868612901631163,0.0100449950192372,0.0210757387023551
29,1500,0.937991298259169,0.86946792839073,0.0104843600245385,0.022102874790463
28,1500,0.937388723900277,0.868117570848759,0.00974755786610946,0.0205914760218443
27,1500,0.937727172685398,0.868833576053122,0.00947449172548479,0.0201550939724328
26,1500,0.937789944011182,0.868952268624546,0.00857624611309929,0.0181690376282689
25,1500,0.936590334618367,0.866330654774834,0.0117226020156136,0.0248999030854414
24,1500,0.937459035339756,0.868201139181289,0.00926278943088267,0.0196360867608297
23,1500,0.93692595364759,0.866993396525876,0.0111910975549439,0.0238286268059741
